trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
0,666846,110009511482329586573312277307696588885833117516927964766060458257493027012787,Yes,2025-11-05,2025-11-14,0.915,0.9995,1.0,0.08450000000000002,9.23497267759563,9,Market resolved
1,666845,56080461058115562341516939975519159017142677957567922063121943246212448476772,Yes,2025-11-06,2025-11-14,0.9955,0.9995,1.0,0.0040000000000000036,0.4018081366147668,8,Market resolved
2,669034,104275830262652196106002834227671004838213413647822439204372399737695546079695,Yes,2025-11-10,2025-11-14,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,4,Market resolved
3,675654,10795398198515170191144523527263293997168564347138029314881801192928484946097,Yes,2025-11-13,2025-11-14,0.93,0.9995,1.0,0.0695,7.473118279569893,1,Market resolved
4,674656,31661161951917142712980163883457807028901744822688244632224003492105210837941,Yes,2025-11-15,2025-11-16,0.9955,0.9995,1.0,0.0040000000000000036,0.4018081366147668,1,Market resolved
5,674665,29105939484196319150992212472662694343805172004029074583481949757352055159118,Yes,2025-11-15,2025-11-16,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
6,674674,3499921201195651996742791147239963855837730046107735121146857300829576240387,Yes,2025-11-15,2025-11-16,0.9955,0.9995,1.0,0.0040000000000000036,0.4018081366147668,1,Market resolved
7,674683,68839466103745508910405398685221865374591662706925986822028725405986432716718,Yes,2025-11-15,2025-11-16,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
8,674704,76322943264938004512710289085523411953765390697750211313078733711449203930393,Yes,2025-11-15,2025-11-16,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
9,674722,97590585499368692669448241213024569960344589683805563123100159480072762837302,Yes,2025-11-15,2025-11-16,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
10,674768,87525950670850976407192343590581646895094657457615787810300452090905664168391,Yes,2025-11-15,2025-11-16,0.999,0.9995,1.0,0.000500000000000056,0.05005005005005565,1,Market resolved
11,675655,112388813213747180548098452172124253035167706995966764851381750878372735784976,Yes,2025-11-13,2025-11-18,0.955,0.9995,1.0,0.044500000000000095,4.659685863874356,5,Market resolved
12,683177,77475362058799214412458194845899064815482624511101227115820661089426875174303,Yes,2025-11-15,2025-11-21,0.91,0.9995,1.0,0.08950000000000002,9.835164835164838,6,Market resolved
13,683201,19895704399504839367486001596531970459306919932762489316546584584974643114559,Yes,2025-11-15,2025-11-21,0.96,0.9995,1.0,0.03950000000000009,4.114583333333343,6,Market resolved
14,675656,18715491928068733089236219385328956084310044708561459316340287096998784449701,Yes,2025-11-11,2025-11-22,0.91,0.9995,1.0,0.08950000000000002,9.835164835164838,11,Market resolved
15,690263,18684932512419078955214973370409776722633302199635448404933459207064360769056,Yes,2025-11-22,2025-11-23,0.9955,0.9955,1.0,0.0,0.0,1,Market resolved
16,690280,3995666815340746063797591099290500783926285603104458436907180895230801856743,Yes,2025-11-22,2025-11-23,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
17,690289,42674308213176884877673996155942153484913691023543906257065949468134004747334,Yes,2025-11-22,2025-11-23,0.995,0.995,1.0,0.0,0.0,1,Market resolved
18,690310,56535929490386237998007808428448205886657575591486640758020541430285786295941,Yes,2025-11-22,2025-11-23,0.998,0.9995,1.0,0.0015000000000000568,0.1503006012024105,1,Market resolved
19,690328,66594310349533222268206474056732282378177064950006822211991191515485257833865,Yes,2025-11-22,2025-11-23,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
20,690337,82569873075704823297561224338239882600622481253003118220499700632255429611690,Yes,2025-11-22,2025-11-23,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
21,690352,50655224549568411164016768226152002370124742229624854008213118570216932658014,Yes,2025-11-22,2025-11-23,0.9955,0.9995,1.0,0.0040000000000000036,0.4018081366147668,1,Market resolved
22,695780,84295068565289477557156116560147071974796670280788811548915039860752839882090,Yes,2025-11-22,2025-11-23,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
23,681334,80023242379375393718600553497873387430838009023689168988794690724328517902277,Yes,2025-11-16,2025-11-24,0.9965,0.9995,1.0,0.0030000000000000027,0.3010536879076771,8,Market resolved
24,681335,51263813615339491685447751050036395043374346608146494639271285061892084285622,Yes,2025-11-16,2025-11-24,0.998,0.9995,1.0,0.0015000000000000568,0.1503006012024105,8,Market resolved
25,681336,93965498009934392419596478768313478591955232211524443041486677229564573790662,Yes,2025-11-16,2025-11-24,0.998,0.9995,1.0,0.0015000000000000568,0.1503006012024105,8,Market resolved
26,687144,31786876708530202714896016471227648729713105836189748042827693364109109385575,Yes,2025-11-19,2025-11-29,0.915,0.07,1.0,-0.845,-92.34972677595627,10,"Carry short: Price=0.070, DTE=1, expecting → 0.00"
27,674412,41932589262510826973415354263830404339934492456388815360970138020427934490265,Yes,2025-11-10,2025-11-30,0.955,0.9995,1.0,0.044500000000000095,4.659685863874356,20,Market resolved
28,669524,583321459279921711314591713450338383848183894111165819866482748327503276422,Yes,2025-11-11,2025-11-30,0.994,0.9995,1.0,0.00550000000000006,0.5533199195171087,19,Market resolved
29,675452,49210124644842680848370781299250158394572935678206095059310645518590612615093,Yes,2025-11-12,2025-11-30,0.985,0.9995,1.0,0.014500000000000068,1.4720812182741188,18,Market resolved
30,676511,61825855739955403783550581677591652208798578733871795921597379706170001504185,Yes,2025-11-12,2025-11-30,0.92,0.9995,1.0,0.07950000000000002,8.641304347826088,18,Market resolved
31,681455,18526421270059973400497927952164445523116068073465504942214949029756406262889,Yes,2025-11-18,2025-11-30,0.9855,0.9995,1.0,0.014000000000000012,1.4205986808726545,12,Market resolved
32,681456,51517099254009633865693234287537997838471689845252776726775930182021079465319,Yes,2025-11-18,2025-11-30,0.9455,0.9995,1.0,0.05400000000000005,5.711263881544162,12,Market resolved
33,669972,16572996468356481937984681675162967176485918624753377504973410571942720954778,Yes,2025-11-22,2025-11-30,0.9525,0.9995,1.0,0.04700000000000004,4.934383202099742,8,Market resolved
34,693558,111984162683892041649010813379742835597165286758546933590857195101116535688503,Yes,2025-11-24,2025-11-30,0.9745,0.9995,1.0,0.025000000000000022,2.5654181631605972,6,Market resolved
35,791183,43882321148078033875196186698397888312022519193735043788618722632427367419523,Yes,2025-12-01,2025-12-02,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
36,798202,76974810259013127537515565848581689083316624227675822216724869790811172485139,Yes,2025-12-02,2025-12-03,0.905,0.035,1.0,-0.87,-96.13259668508287,1,"Carry short: Price=0.035, DTE=2, expecting → 0.00"
37,707133,67425530142313345582374506358836963756418128532152915464695386677913018141001,Yes,2025-11-29,2025-12-05,0.905,0.9995,1.0,0.09450000000000003,10.441988950276246,6,Market resolved
38,798760,51608427239349952672933833466844497802177201541615698598481027156886397925532,Yes,2025-12-02,2025-12-05,0.945,0.9995,1.0,0.054500000000000104,5.767195767195778,3,Market resolved
39,704498,79415179584652867416985709227300484566553159729048432092817478607744182537766,Yes,2025-12-03,2025-12-05,0.9615,0.9995,1.0,0.038000000000000034,3.952158086323456,2,Market resolved
40,797373,106122682688941876729598096072432073530714656675154763482019439376249936351023,Yes,2025-12-04,2025-12-05,0.989,0.9995,1.0,0.010500000000000065,1.061678463094041,1,Market resolved
41,740781,13241955822245794092910537303323278480719804861284007933755780519816505519939,Yes,2025-12-06,2025-12-07,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
42,740941,110760656108020667394972132209993425199025746894001955181145229664394063396197,Yes,2025-12-06,2025-12-07,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
43,740989,84734158145719478143191390125852443315887635390488498565954035039808990370270,Yes,2025-12-06,2025-12-07,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
44,741037,76257710110006300151284827568090807972938275717811750397239362271514431654354,Yes,2025-12-06,2025-12-07,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
45,741061,96339514608657852327973399439009482667306232756102537093736886842956461125898,Yes,2025-12-06,2025-12-07,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
46,741070,32478902191404039536970973835506959497496613030208873363289871878254578716786,Yes,2025-12-06,2025-12-07,0.9955,0.9995,1.0,0.0040000000000000036,0.4018081366147668,1,Market resolved
47,741082,33849772795458318284937456577476147810020291901257778342066166593650970547510,Yes,2025-12-06,2025-12-07,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
48,741088,18154853921388849982108887772964178884819183646062479640128590913170708388628,Yes,2025-12-06,2025-12-07,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
49,835509,106603391632284840463931543766715945110124005785025457512072202092374321652759,Yes,2025-12-07,2025-12-07,0.905,0.045,1.0,-0.86,-95.02762430939225,0,"Carry short: Price=0.045, DTE=2, expecting → 0.00"
50,690150,62826862973122968757927160401652628691812680645835879869350471837598835639293,Yes,2025-12-08,2025-12-11,0.92,0.9995,1.0,0.07950000000000002,8.641304347826088,3,Market resolved
51,786757,93099875219046321711717641026759808781881026861504044098863156846196836285475,Yes,2025-12-04,2025-12-12,0.9955,0.9995,1.0,0.0040000000000000036,0.4018081366147668,8,Market resolved
52,786758,28890826014674062509980794194498105075165087825324018870825446440126160775124,Yes,2025-12-04,2025-12-12,0.993,0.9995,1.0,0.006500000000000061,0.6545820745216577,8,Market resolved
53,895179,2678986009980149162990761598096975113506231649646808429394973244952858822966,Yes,2025-12-09,2025-12-12,0.925,0.0005,1.0,-0.9245000000000001,-99.94594594594595,3,Market resolved
54,894998,110315175851980795461804890323407662406381798705804808134757046483185269668454,Yes,2025-12-11,2025-12-12,0.935,0.9995,1.0,0.0645,6.898395721925134,1,Market resolved
55,822860,114340368084153348419362228347892391735426335762030312137087904177847937004578,Yes,2025-12-06,2025-12-13,0.905,0.9995,1.0,0.09450000000000003,10.441988950276246,7,Market resolved
56,839662,73943233515380846779779878675461832983777084871653829437361318485544259988992,Yes,2025-12-13,2025-12-14,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
57,839698,58955998538960272243567535900268101147669343525563987206137541011321426815340,Yes,2025-12-13,2025-12-14,0.9955,0.9995,1.0,0.0040000000000000036,0.4018081366147668,1,Market resolved
58,839767,112993118410359161652784335347137124359898062941618187873699582436806032308892,Yes,2025-12-13,2025-12-14,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
59,839918,94434108859170079271489901432886170504922491379954800312075097166387125281774,Yes,2025-12-13,2025-12-14,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
60,839943,53081411349512820867772294223502548149902208820547521438331804439228862245399,Yes,2025-12-13,2025-12-14,0.9995,0.9995,1.0,0.0,0.0,1,Market resolved
61,839952,51644353703258775081267949848131095055535953881639357804076499389127502210628,Yes,2025-12-13,2025-12-14,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,1,Market resolved
62,705370,12781764374994637863508317367247239309670306386729454307180061585741362129706,Yes,2025-11-26,2025-12-15,0.92,0.9995,1.0,0.07950000000000002,8.641304347826088,19,Market resolved
63,705369,68666344325520067495857292785334324056007070777725313136289087922787269410042,Yes,2025-11-28,2025-12-15,0.905,0.9995,1.0,0.09450000000000003,10.441988950276246,17,Market resolved
64,904040,79128685378882812672297235711167769117352367745697520019040440040834172498280,Yes,2025-12-12,2025-12-15,0.94,0.33,1.0,-0.6099999999999999,-64.89361702127658,3,Market resolved
65,701041,50161564593820976965151793756719520393014318964839902082651564167544475366371,Yes,2025-11-25,2025-12-17,0.95,0.0915,1.0,-0.8584999999999999,-90.36842105263158,22,"Carry short: Price=0.091, DTE=14, expecting → 0.00"
66,669988,105840949229717679065965197370880058552828339426050159819042975549606196559027,Yes,2025-11-21,2025-12-18,0.905,0.9995,1.0,0.09450000000000003,10.441988950276246,27,Market resolved
67,965195,28162815289093474964359746445673753065968865645108571574627268116185227298741,Yes,2025-12-18,2025-12-19,0.967,0.9875,1.0,0.020500000000000074,2.119958634953472,1,Market resolved
68,964822,22665453567264809119677288531984110961187861291671317425585439300597585155479,Yes,2025-12-19,2025-12-20,0.935,0.9995,1.0,0.0645,6.898395721925134,1,Market resolved
69,898677,82348348238013062132673754829528919499895034373710693095081725318398077747425,Yes,2025-12-11,2025-12-22,0.925,0.9995,1.0,0.07450000000000001,8.054054054054054,11,Market resolved
70,996821,74322432735708949965661884755464206770328988985519479167896021098110566390030,Yes,2025-12-22,2025-12-23,0.986,0.9995,1.0,0.013500000000000068,1.3691683569979785,1,Market resolved
71,984486,86076435751570733286369126634541849471627178793773765844822295389135259614946,Yes,2025-12-22,2025-12-26,0.99,0.9995,1.0,0.009500000000000064,0.9595959595959661,4,Market resolved
72,984487,68192075069742980101448394541413334681617445973967380757560896138276391577690,Yes,2025-12-22,2025-12-26,0.93,0.9995,1.0,0.0695,7.473118279569893,4,Market resolved
73,1029355,73873744772929078382127069733494313168162660075189119174740210270643286547340,Yes,2025-12-26,2025-12-28,0.915,0.9995,1.0,0.08450000000000002,9.23497267759563,2,Market resolved
74,1029363,55166170173832423668735928281596288283480592730948171166644881256447098460543,Yes,2025-12-26,2025-12-29,0.91,0.9995,1.0,0.08950000000000002,9.835164835164838,3,Market resolved
75,995416,96901958389034713578092029812938439204651709737626978937406200748444492645423,Yes,2025-12-28,2025-12-29,0.93,0.9995,1.0,0.0695,7.473118279569893,1,Market resolved
76,666995,8667632414311877114370547244954190254085512448865773347820527397875782585159,Yes,2025-11-08,2025-12-31,0.945,0.9995,1.0,0.054500000000000104,5.767195767195778,53,Market resolved
77,675746,90185230582158255066729114445409362544710317616223011545209129843619664123705,Yes,2025-11-11,2025-12-31,0.905,0.9995,1.0,0.09450000000000003,10.441988950276246,50,Market resolved
78,666672,97849071718395539530076372221378364811295154105244840444994378979378808015586,Yes,2025-11-13,2025-12-31,0.955,0.9995,1.0,0.044500000000000095,4.659685863874356,48,Market resolved
79,666691,103901203701356392873458845059099914864708015879654197717481534810246359798321,Yes,2025-11-13,2025-12-31,0.945,0.9995,1.0,0.054500000000000104,5.767195767195778,48,Market resolved
80,676685,27277304217457091649403509697619880765545860562741928003059606700681636760310,Yes,2025-11-15,2025-12-31,0.915,0.9995,1.0,0.08450000000000002,9.23497267759563,46,Market resolved
