trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
0,916438,23102146416485852439758793112909967183319639847646393071767359411448615747651,Yes,2026-01-02,2026-01-15,0.075,0.9995,1.0,0.9245000000000001,1232.6666666666667,13,Market resolved
1,1029717,33407557993631113658633613061665710615033374245219106000531554537162088874341,Yes,2025-12-29,2026-01-16,0.625,0.9995,1.0,0.37450000000000006,59.92000000000001,18,Market resolved
2,1090801,27063779578537475086557412243821486526688305023710517618594225497553184951856,Yes,2026-01-18,2026-01-19,0.0005,0.0005,1.0,0.0,0.0,1,Market resolved
3,1199463,20760943051515318732025081852411257793444051370439316571328184813806489244380,Yes,2026-01-20,2026-01-23,0.08,0.0005,1.0,-0.0795,-99.375,3,Market resolved
4,1169251,63574702992615832199008306713087156256709366378482822190246132716297363017695,Yes,2026-01-14,2026-01-24,0.265,0.9995,1.0,0.7345,277.1698113207547,10,Market resolved
5,1199463,20760943051515318732025081852411257793444051370439316571328184813806489244380,Yes,2026-01-23,2026-01-24,0.0055,0.0005,1.0,-0.004999999999999999,-90.90909090909089,1,Market resolved
6,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-01-23,2026-01-24,0.545,0.57,1.0,0.02499999999999991,4.587155963302736,1,Market resolved
7,1249612,28193180481221014942741393856832109250523811339963257781930169422323363802311,Yes,2026-01-23,2026-01-24,0.185,0.215,1.0,0.03,16.216216216216218,1,Market resolved
8,1199463,20760943051515318732025081852411257793444051370439316571328184813806489244380,Yes,2026-01-24,2026-01-25,0.0005,0.0005,1.0,0.0,0.0,1,Market resolved
9,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-01-24,2026-01-25,0.535,0.555,1.0,0.020000000000000018,3.738317757009349,1,Market resolved
10,1249612,28193180481221014942741393856832109250523811339963257781930169422323363802311,Yes,2026-01-24,2026-01-25,0.215,0.225,1.0,0.010000000000000009,4.651162790697678,1,Market resolved
11,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-01-25,2026-01-26,0.57,0.555,1.0,-0.014999999999999902,-2.6315789473684044,1,Market resolved
12,1249612,28193180481221014942741393856832109250523811339963257781930169422323363802311,Yes,2026-01-25,2026-01-26,0.215,0.235,1.0,0.01999999999999999,9.302325581395344,1,Market resolved
13,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-01-26,2026-01-27,0.555,0.565,1.0,0.009999999999999898,1.8018018018017834,1,Market resolved
