pair_id,posterior_mean,posterior_std,n_observations,prior_std,uncertainty_reduction
11314_502989_502989,-2.593124640499759,0.008804509063256239,5,0.05,0.8239098187348752
11314_502989_502990,-3.7014058090293402,0.018569533817705184,1,0.05,0.6286093236458963
11314_502990_502990,-0.809400904755216,0.01125087900926024,3,0.05,0.7749824198147952
11314_502991_502991,-2.2707012944657037,0.013608276348795434,2,0.05,0.7278344730240913
11314_502997_502997,-0.7470531804778527,0.01125087900926024,3,0.05,0.7749824198147952
11314_503012_503012,0.26569083808690147,0.01125087900926024,3,0.05,0.7749824198147952
11314_502989_503012,4.006535904413856,0.013608276348795434,2,0.05,0.7278344730240913
11314_502990_502991,3.8017621545368816,0.018569533817705184,1,0.05,0.6286093236458963
11314_502991_502997,2.08984466836076,0.018569533817705184,1,0.05,0.6286093236458963
11265_506675_506675,-0.10971148567688038,0.018569533817705184,1,0.05,0.6286093236458963
11265_506676_506676,1.1572702580860132,0.013608276348795434,2,0.05,0.7278344730240913
11265_506676_506677,10.628059117950912,0.018569533817705184,1,0.05,0.6286093236458963
11265_506677_506677,5.262825799387016,0.007001400420140048,8,0.05,0.8599719915971991
11265_506678_506678,-4.540978444934328,0.018569533817705184,1,0.05,0.6286093236458963
11265_502888_502888,-1.6648009527863792,0.018569533817705184,1,0.05,0.6286093236458963
11265_502889_502889,0.4419027717821382,0.018569533817705184,1,0.05,0.6286093236458963
11265_502891_502891,0.2285236535662233,0.01125087900926024,3,0.05,0.7749824198147952
11265_502893_502893,0.578774857550454,0.0074743509275193585,7,0.05,0.8505129814496128
11265_502895_502895,1.177310049782913,0.018569533817705184,1,0.05,0.6286093236458963
11265_502897_502897,-0.5881815982993948,0.018569533817705184,1,0.05,0.6286093236458963
11265_502900_502900,-7.190300681355921,0.018569533817705184,1,0.05,0.6286093236458963
11265_502901_502901,3.040051765483261,0.018569533817705184,1,0.05,0.6286093236458963
11265_502902_502902,0.9081923276944973,0.009805806756909202,4,0.05,0.803883864861816
11265_502903_502903,0.11104318695654403,0.018569533817705184,1,0.05,0.6286093236458963
11265_502905_502905,3.1206677940530354,0.013608276348795434,2,0.05,0.7278344730240913
11265_506675_502905,-5.228500172731494,0.018569533817705184,1,0.05,0.6286093236458963
11940_504760_504760,-1.006972165354962,0.008058229640253803,6,0.05,0.838835407194924
11940_504760_504758,-3.550548948787617,0.018569533817705184,1,0.05,0.6286093236458963
11940_504758_504758,0.35655024680521874,0.005735393346764043,12,0.05,0.8852921330647191
11940_504758_504759,0.6171017471922386,0.013608276348795434,2,0.05,0.7278344730240913
11940_504759_504759,0.4293940271992797,0.0040689422938557955,24,0.05,0.9186211541228841
11940_504759_504761,-0.43455459959881954,0.018569533817705184,1,0.05,0.6286093236458963
11940_504761_504761,0.5351483673928987,0.006608186004550897,9,0.05,0.867836279908982
11940_504760_504761,-1.687216999474867,0.018569533817705184,1,0.05,0.6286093236458963
12066_505172_505172,0.09581469035903155,0.013608276348795434,2,0.05,0.7278344730240913
12066_505173_505173,0.14609259934260485,0.0074743509275193585,7,0.05,0.8505129814496128
12066_505172_505173,0.8774765460812401,0.013608276348795434,2,0.05,0.7278344730240913
12862_508169_508169,-0.04105991774503312,0.01125087900926024,3,0.05,0.7749824198147952
12868_508190_508190,-0.06800071287045485,0.018569533817705184,1,0.05,0.6286093236458963
13157_508743_508743,-0.42124230938397217,0.018569533817705184,1,0.05,0.6286093236458963
13158_508744_508744,-0.3939291495345653,0.013608276348795434,2,0.05,0.7278344730240913
13160_508746_508746,-0.04881917083668397,0.005513178464199711,13,0.05,0.8897364307160058
13719_510762_510762,0.31805127406973693,0.005735393346764043,12,0.05,0.8852921330647191
13739_510813_510813,-0.3963031123073324,0.018569533817705184,1,0.05,0.6286093236458963
11910_504666_504666,-7.561142862514359,0.013608276348795434,2,0.05,0.7278344730240913
11910_504669_504669,-3.4318289116020377,0.01125087900926024,3,0.05,0.7749824198147952
11910_504670_504670,-8.917328553745046,0.013608276348795434,2,0.05,0.7278344730240913
11910_504670_504676,-1.285027882143889,0.018569533817705184,1,0.05,0.6286093236458963
11910_504676_504676,-2.283610943549287,0.01125087900926024,3,0.05,0.7749824198147952
11910_504676_504677,-5.3967290242079695,0.018569533817705184,1,0.05,0.6286093236458963
11910_504677_504677,-0.9460660804721512,0.005986843400892496,11,0.05,0.8802631319821501
11910_504677_504678,-10.524429210814182,0.018569533817705184,1,0.05,0.6286093236458963
11910_504678_504678,-0.1327584364310153,0.0048280454958526745,17,0.05,0.9034390900829465
11910_504678_504679,-5.870915932988266,0.018569533817705184,1,0.05,0.6286093236458963
11910_504679_504679,-0.9663544028969309,0.013608276348795434,2,0.05,0.7278344730240913
11910_504679_504680,0.02226877160314572,0.013608276348795434,2,0.05,0.7278344730240913
11910_504680_504680,-1.8366158592488142,0.009805806756909202,4,0.05,0.803883864861816
11910_504666_504680,2.354858436602678,0.013608276348795434,2,0.05,0.7278344730240913
12067_505179_505179,-0.9784761528775645,0.018569533817705184,1,0.05,0.6286093236458963
12547_506930_506930,-0.8301840690134776,0.018569533817705184,1,0.05,0.6286093236458963
12641_507276_507276,0.14703113320907704,0.00434782608695652,21,0.05,0.9130434782608696
12877_508204_508204,-0.9500155769263302,0.007001400420140048,8,0.05,0.8599719915971991
13742_510835_510835,-8.270116941652303,0.01125087900926024,3,0.05,0.7749824198147952
13742_510835_510838,2.417749395294323,0.018569533817705184,1,0.05,0.6286093236458963
13742_510838_510838,-2.347762137884153,0.007001400420140048,8,0.05,0.8599719915971991
13742_510838_510839,32.0899584070452,0.018569533817705184,1,0.05,0.6286093236458963
13742_510839_510839,-1.121357808678422,0.018569533817705184,1,0.05,0.6286093236458963
13742_510839_510840,-9.807331809520347,0.018569533817705184,1,0.05,0.6286093236458963
13742_510840_510840,-6.550973907031453,0.007001400420140048,8,0.05,0.8599719915971991
13742_510840_510841,-3.6957156424317574,0.018569533817705184,1,0.05,0.6286093236458963
13742_510841_510841,-1.0947874585015653,0.013608276348795434,2,0.05,0.7278344730240913
13742_510841_510842,-18.855582379058138,0.018569533817705184,1,0.05,0.6286093236458963
13742_510842_510842,28.45166725250486,0.013608276348795434,2,0.05,0.7278344730240913
13742_510844_510844,-0.017488869013658658,0.006608186004550897,9,0.05,0.867836279908982
13742_510844_510845,-1.9587882641450105,0.018569533817705184,1,0.05,0.6286093236458963
13742_510845_510845,-1.802965084591278,0.01125087900926024,3,0.05,0.7749824198147952
13742_510845_510846,-32.00658142044248,0.018569533817705184,1,0.05,0.6286093236458963
13742_510846_510846,0.037555526290936274,0.0040689422938557955,24,0.05,0.9186211541228841
