trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
0,670027,15045210214558481035871213881835058035659562536267089817967721521473309693238,No,2025-11-20,2025-11-30,0.9,0.999,833,82.46699999999998,10.999999999999996,10,Delayed event short leg expired
1,670028,75933099186392876798508993770671321738765326024861718338359976106304117675984,Yes,2025-11-20,2025-11-30,0.815,0.55,920,-243.7999999999999,-32.51533742331287,10,Delayed event short leg expired
2,835509,45551264031472347265762623520636876562657245207013108300174493552989964792355,No,2025-12-07,2025-12-09,0.955,0.9995,785,34.93250000000012,4.659685863874362,2,Delayed event short leg expired
3,822860,114340368084153348419362228347892391735426335762030312137087904177847937004578,Yes,2025-12-07,2025-12-09,0.8,0.855,938,51.58999999999992,6.8749999999999885,2,Delayed event short leg expired
4,949319,81479127818362266751071070578994667467065792094985983804738677982079807316915,No,2025-12-17,2025-12-19,0.905,0.9995,829,78.34050000000002,10.441988950276246,2,Delayed event short leg expired
5,573825,15742960194943308152366175174879062687157276548684939506313622185379383930124,No,2025-12-11,2025-12-31,0.9,0.9995,833,82.88350000000003,11.055555555555559,20,Delayed event short leg expired
6,676829,31198084272932352525926802046358262783522244061752464952508587771194866686492,Yes,2025-12-11,2025-12-31,0.82,0.9,915,73.20000000000005,9.756097560975617,20,Delayed event short leg expired
7,631043,52709873617419960946057056286009758832333407173802080169233856934131620535995,No,2025-12-11,2025-12-31,0.905,0.998,829,77.09699999999998,10.276243093922648,20,Delayed event short leg expired
8,674924,22975511828890610961989937819858714417521657947520093255705856810676541890170,Yes,2025-12-11,2025-12-31,0.835,0.415,898,-377.15999999999997,-50.29940119760479,20,Delayed event short leg expired
9,681145,56950619993769912168821316111489748113171036706006230238448592343490848661778,No,2025-12-11,2025-12-31,0.9,0.9165,833,13.744499999999903,1.8333333333333202,20,Delayed event short leg expired
10,681147,63325372453891129070046826280666940563292829448499564235274978384421154193189,Yes,2025-12-11,2025-12-31,0.8,0.675,938,-117.25,-15.624999999999996,20,Delayed event short leg expired
11,898157,26804736261438155014606270925022352787620840325396230073248535412076210877665,No,2025-12-11,2025-12-31,0.9,0.9985,833,82.05050000000006,10.944444444444452,20,Delayed event short leg expired
12,898162,66410765135160915376124046986241081497451635207255295727450487710647443755656,Yes,2025-12-11,2025-12-31,0.815,0.9665,920,139.3800000000001,18.58895705521474,20,Delayed event short leg expired
13,546806,16759809660065614657316136762877254422251604138946045908613588571784925013992,No,2025-12-13,2025-12-31,0.905,0.999,829,77.92600000000004,10.386740331491719,18,Delayed event short leg expired
14,677366,83552904656813968939383082097054433404653657244784709614448703928529504455469,Yes,2025-12-13,2025-12-31,0.815,0.885,920,64.40000000000009,8.588957055214737,18,Delayed event short leg expired
