trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
0,523420,110513468504414111967623727967802735681305040958967125800368195228103949451183,No,2025-11-13,2025-12-31,0.964,0.9995,-24.0,-0.8520000000000003,0.0,48,Market resolved
1,610381,15941169207766483447414689399123153340714132932920187738030167528134553690538,No,2025-11-13,2025-12-31,0.81,0.755,-29.0,1.5950000000000024,0.0,48,Market resolved
2,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2025-11-16,2025-12-31,0.725,0.865,-28.0,-3.919999999999998,0.0,45,Market resolved
3,681145,56950619993769912168821316111489748113171036706006230238448592343490848661778,No,2025-11-19,2025-12-31,0.84,0.9165,-24.0,-1.8359999999999985,0.0,42,Market resolved
4,898157,26804736261438155014606270925022352787620840325396230073248535412076210877665,No,2025-12-08,2025-12-31,0.89,0.9985,-59.0,-6.401500000000006,0.0,23,Market resolved
5,525127,72100153031723417941623748921008098870442305796408467800844540138421390446254,No,2025-12-10,2025-12-31,0.89,0.995,-17.0,-1.7849999999999984,0.0,21,Market resolved
6,657353,16562352793056232354114110355202850894329420491588330781832761148995895411257,No,2025-11-06,2026-01-01,0.978,0.9995,-12.0,-0.2579999999999991,0.0,56,Market resolved
7,898157,26804736261438155014606270925022352787620840325396230073248535412076210877665,No,2025-12-31,2026-01-01,0.9945,0.9995,-15.0,-0.07500000000000107,0.0,1,Market resolved
8,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2025-12-31,2026-01-01,0.83,0.9,-24.0,-1.6800000000000033,0.0,1,Market resolved
9,898157,26804736261438155014606270925022352787620840325396230073248535412076210877665,No,2026-01-01,2026-01-02,0.9995,0.9995,-19.0,0.0,0.0,1,Market resolved
10,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-01,2026-01-02,0.865,0.9,-23.0,-0.8049999999999997,0.0,1,Market resolved
11,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-02,2026-01-03,0.89,0.885,-23.0,0.11499999999999844,0.0,1,Market resolved
