trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason,trade_type,pair_id,spread_level,spread_velocity,vol_zscore,regime_factor,volume,leg,entry_spread,exit_spread
0,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.9565,0.963,0.1,0.0006499999999999839,0.6795608991113266,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=-0.7596,widening,11314_502989_502989,-1.47782912614408,-0.7596495731773858,-47.499999999998835,0.85,1156705.11,far,,
1,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.9565,0.956,0.1,-5.000000000000837e-05,-0.052273915316265934,0,Close spread widening: Take profit: Spread widened 1.3735,,,,,,,,near,-1.47782912614408,-0.1043582787394648
2,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.958,0.956,0.1,-0.00019999999999999185,-0.20876826722337358,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=-0.4878,widening,11314_502989_502989,0.424785892766117,-0.4878474276187862,-47.499999999998835,0.85,1156705.11,far,,
3,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.96,0.956,0.1,-0.0003999999999999976,-0.41666666666666413,0,Close spread widening: Stop loss: Spread compressed -1.2951,,,,,,,,near,0.424785892766117,-0.8703010793382404
4,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.9535,0.956,0.1,0.0002500000000000002,0.26219192448872597,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=-0.6206,widening,11314_502989_502989,-0.5046173346515346,-0.6206193172498793,-47.499999999998835,0.85,1156705.11,far,,
5,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.9535,0.9545,0.1,0.00010000000000000286,0.10487676979549329,0,Close spread widening: Take profit: Spread widened 0.7031,,,,,,,,near,-0.5046173346515346,0.1985132529736795
6,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.9575,0.9545,0.1,-0.0002999999999999947,-0.31331592689294485,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=-0.4596,widening,11314_502989_502989,0.6228265830547883,-0.4595559004346903,-47.499999999998835,0.85,1156705.11,far,,
7,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.9575,0.957,0.1,-4.999999999999449e-05,-0.05221932114881932,0,Close spread widening: Stop loss: Spread compressed -0.7296,,,,,,,,near,0.6228265830547883,-0.10679946308765409
8,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.96,0.957,0.1,-0.0002999999999999947,-0.3124999999999945,0,Spread widening: vol_drought (z=-47.50) + spread_velocity=-0.4542,widening,11314_502989_502989,0.6603780410489613,-0.45419140643552275,-47.499999999998835,0.85,1156705.11,far,,
9,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-22,2024-07-22,0.96,0.838,0.1,-0.012200000000000003,-12.708333333333336,0,Close spread widening: Stop loss: Spread compressed -13.4324,,,,,,,,near,0.6603780410489613,-12.77203352071282
