trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
0,711244,1063538161841774729190862379064305437627048767826031035856183527160675805520,Yes,2025-12-05,2025-12-31,0.54,0.0005,-1852,999.154,0.0,26,Market resolved
1,949493,72902726884699850978994485999351956746728455432234001140689757304247177712068,Yes,2025-12-16,2026-01-06,0.495,0.495,2020,0.0,0.0,21,Edge collapsed or near expiry: edge=-0.0031
2,1029718,114293814424547315133923266518860610693757149801277710298080812864824656242415,Yes,2025-12-26,2026-01-09,0.49,0.9995,-2041,-1039.8895000000002,0.0,14,Market resolved
3,916438,23102146416485852439758793112909967183319639847646393071767359411448615747651,Yes,2026-01-02,2026-01-15,0.5,0.9995,-2000,-999.0,0.0,13,Market resolved
4,1029717,33407557993631113658633613061665710615033374245219106000531554537162088874341,Yes,2025-12-26,2026-01-16,0.49,0.9995,-2041,-1039.8895000000002,0.0,21,Market resolved
5,949492,66439975995641615935410953783289471019829231789134229693644308636878057313106,Yes,2025-12-16,2026-01-28,0.48,0.0005,-2083,998.7984999999999,0.0,43,Market resolved
6,835892,104637984780771800343291365019405024429490869249987049113904002457124939512735,Yes,2025-12-05,2026-01-31,0.305,0.0015,3279,-995.1765,-99.50819672131146,57,Market resolved
7,1029716,106884515767269588734555617532315526381836778103037489818740663974192289985724,Yes,2025-12-26,2026-01-31,0.49,0.9995,2041,1039.8895000000002,103.97959183673471,36,Market resolved
8,916440,24918067747661759048720135607687934209172945708698786072564741153847301974566,Yes,2025-12-31,2026-01-31,0.23,0.9995,-4348,-3345.786,0.0,31,Market resolved
9,916439,46918598909292694444950279432364422384724475642321370138619411068035692116555,Yes,2026-01-02,2026-01-31,0.5,0.9995,-2000,-999.0,0.0,29,Market resolved
10,1183483,49681158024539680210459175919357648599377867106168636531906079815347956666078,Yes,2026-01-14,2026-01-31,0.505,0.9995,-1980,-979.1100000000002,0.0,17,Market resolved
11,949494,103665283657652818155183704290908892828145905842320815814218026501095230008126,Yes,2025-12-16,2026-02-10,0.5,0.5,2000,0.0,0.0,56,Edge collapsed or near expiry: edge=-0.0047
12,965255,60042079399848529542876096234275904195792537400402227547324526817601859394832,Yes,2025-12-31,2026-02-28,0.365,0.9995,2740,1738.5300000000002,173.8356164383562,59,Market resolved
13,835893,71354961394578494408937143110907843550577676051621608744496329353364208118436,Yes,2025-12-05,2026-03-16,0.475,0.0125,2105,-973.5625,-97.36842105263158,101,End of backtest
14,948955,92156284534280143070615206923373921895950068003448597987249195254309153661443,Yes,2025-12-16,2026-03-16,0.225,0.0015,-4444,993.2339999999999,0.0,90,End of backtest
15,948956,110292533535693399659565556058999029770323124971784271457706580213101684204758,Yes,2025-12-16,2026-03-16,0.27,0.055,3704,-796.36,-79.62962962962963,90,End of backtest
16,948957,50388900663189748675936681554126016850520413670342348778716337126803310768728,Yes,2025-12-16,2026-03-16,0.28,0.14,3571,-499.94000000000005,-50.0,90,End of backtest
17,949495,36209573008978970585450419316941249216001556298548579804182609641681769351835,Yes,2025-12-16,2026-03-16,0.5,0.315,2000,-370.0,-37.0,90,End of backtest
18,951215,95185994974981691735321236122795202848127912889784282919108733171894729215083,Yes,2025-12-17,2026-03-16,0.265,0.0045,-3774,983.1270000000001,0.0,89,End of backtest
19,951216,103942824117785796761771400642309643220085977759736681664853793408936013147186,Yes,2025-12-17,2026-03-16,0.495,0.0475,2020,-903.9499999999999,-90.4040404040404,89,End of backtest
20,951217,71769313276783264339038655666536516201432618777567664062010293603095692585656,Yes,2025-12-17,2026-03-16,0.495,0.135,2020,-727.1999999999999,-72.72727272727272,89,End of backtest
21,955800,12919947332704113196629566364511952804209953439477960181843059729756361018037,Yes,2025-12-17,2026-03-16,0.495,0.006,-2020,987.78,0.0,89,End of backtest
22,955801,106622784201530844335684269517198302486444245740243328744871893173444662258135,Yes,2025-12-17,2026-03-16,0.495,0.081,2020,-836.28,-83.63636363636363,89,End of backtest
23,955802,50309557630441405820467980617768046879974112993631273036292790723170476929149,Yes,2025-12-17,2026-03-16,0.495,0.14,2020,-717.0999999999999,-71.71717171717171,89,End of backtest
